"Hàn-jī","Lô-má-jī","Kúi ê im"
"長","tiúnn, tióng, tsióng, tiông, tn̂g, tshiâng, tsiáng","7"
"籠","láng, lam, lāng, lóng, lâng, lang, lông","7"
"落","lo̍h, lak, lo̍k, la̍uh, làu, loh","6"
"過","kuà, kuè, koh, kè, kò, kòo","6"
"呢","nih, neh, ne, nî, ní, ni","6"
"當","tong, tang, tàng, tòng, tng, tǹg","6"
"相","siùnn, sio, siòng, siunn, siong, sann","6"
"龍","lîng, liông, lâng, gîng, long, lông","6"
"老","ló, nóo, lōo, lāu, láu","5"
"行","hîng, hâng, hīng, kiânn, lîng","5"
"調","tiau, tiāu, tiàu, tiâu, thâu","5"
"象","siōng, tshiūnn, siūnn, siòng, sióng","5"
"上","tsiūnn, siōng, siāng, sióng, tshiūnn","5"
"遮","sen, tsiah, tsia, jia, lia","5"
"向","hiòng, hiàng, ǹg, hiànn, ànn","5"
"生","sing, senn, sinn, tshenn, tshinn","5"
"坪","pênn, pînn, phiânn, phîng, pîng","5"
"子","tsí, tsú, jí, lí, á","5"
"彈","tân, tān, thân, tuânn, tuānn","5"
"肉","bah, hi̍k, jio̍k, lio̍k","4"
"脫","thuat, thut, thuah, thu̍t","4"
"腔","khiunn, tshiunn, khiong, khiang","4"
"腥","tshenn, tshinn, tshènn, tshìnn","4"
"腸","tn̂g, tshiâng, tiông, tshiân","4"
"成","sîng, tsiânn, tshiânn, siânn","4"
"扭","liú, niú, láu, ngiú","4"
"若","nā, jio̍k, lio̍k, ná","4"
"指","tsíng, tsí, tsáinn, kí","4"
"捏","liap, lia̍p, tēnn, tīnn","4"
"掩","iám, am, om, ng","4"
"著","tio̍h, tù, to̍h, tio̍k","4"
"蓋","kuà, kah, kài, kap","4"
"散","sàn, suànn, suánn, sán","4"
"明","bîng, mê, bîn, miâ","4"
"星","tshenn, tshinn, san, sing","4"
"更","king, kìng, kenn, kinn","4"
"會","huē, hē, ē, kuè","4"
"架","kà, kè, khuè, khè","4"
"蟯","giô, ngia̍uh, jiâu, liâu","4"
"說","sueh, seh, suè, suat","4"
"讀","tāu, tōo, tho̍k, tha̍k","4"
"貨","huè, hè, hò, hònn","4"
"泡","pho̍k, phàu, pho, phò","4"
"跡","jiah, liah, tsiah, tsik","4"
"三","sam, sann, sàm, san","4"
"下","ē, e, hā, hē","4"
"乾","kuann, ta, kan, khiân","4"
"車","tshia, ki, ku, tshâ","4"
"任","jīm, līm, jîm, lîm","4"
"較","kàu, khah, kà, kah","4"
"伯","peh, phik, pit, pik","4"
"使","sù, sài, sái, sú","4"
"逐","ta̍k, tio̍k, jiok, lip","4"
"假","ká, ké, kà, kè","4"
"八","pat, peh, pueh, pa","4"
"熱","jua̍h, lua̍h, jia̍t, lia̍t","4"
"重","tîng, tiōng, tāng, tiông","4"
"量","liōng, liông, niū, niû","4"
"凹","nah, neh, āu, lap","4"
"刮","kuat, khe, kueh, kuih","4"
"物","bu̍t, mih, mi̍h, mn̍gh","4"
"劃","ue̍h, ui̍h, uē, i̍k","4"
"可","khó, khoo, khóo, khuá","4"
"合","ha̍p, kah, ha̍h, kap","4"
"和","hô, hām, huê, hō","4"
"哩","lí, li, lih, mai","4"
"關","kuan, kuainn, kuinn, kan","4"
"嘓","kho̍k, kok, go̍k, ko̍k","4"
"嚇","hiannh, hik, heh, hánn","4"
"皮","phuê, phê, phî, pî","4"
"囉","lô, lo, looh, lō","4"
